method,run,seed,accuracy,trace_precision,trace_recall,trace_f1,trace_support,no_trace_precision,no_trace_recall,no_trace_f1,no_trace_support,valid_predictions,invalid_predictions,total_records,confusion_matrix,prediction_file,demo_file,test_file,completed_at_utc
five_shot,1,1,0.86,0.9736842105263158,0.74,0.8409090909090909,50,0.7903225806451613,0.98,0.875,50,100,0,100,"[[37, 13], [1, 49]]",gemma_traceability/results/gemma_2_9b_it_no_finetuning/multi_run/five_shot_run_01_predictions.csv,gemma_traceability/data/no_finetuning/multi_run/five_shot_run_01_examples.jsonl,gemma_traceability/data/no_finetuning/multi_run/test_100.jsonl,2026-09-17T07:27:19.412014+00:00
ten_shot,1,1,0.88,1.0,0.76,0.8636363636363636,50,0.8064516129032258,1.0,0.8928571428571429,50,100,0,100,"[[38, 12], [0, 50]]",gemma_traceability/results/gemma_2_9b_it_no_finetuning/multi_run/ten_shot_run_01_predictions.csv,gemma_traceability/data/no_finetuning/multi_run/ten_shot_run_01_examples.jsonl,gemma_traceability/data/no_finetuning/multi_run/test_100.jsonl,2026-09-17T07:27:53.052427+00:00
five_shot,2,2,0.87,0.9743589743589743,0.76,0.8539325842696629,50,0.8032786885245902,0.98,0.8828828828828829,50,100,0,100,"[[38, 12], [1, 49]]",gemma_traceability/results/gemma_2_9b_it_no_finetuning/multi_run/five_shot_run_02_predictions.csv,gemma_traceability/data/no_finetuning/multi_run/five_shot_run_02_examples.jsonl,gemma_traceability/data/no_finetuning/multi_run/test_100.jsonl,2026-09-17T07:28:26.301632+00:00
ten_shot,2,2,0.88,0.975,0.78,0.8666666666666667,50,0.8166666666666667,0.98,0.8909090909090909,50,100,0,100,"[[39, 11], [1, 49]]",gemma_traceability/results/gemma_2_9b_it_no_finetuning/multi_run/ten_shot_run_02_predictions.csv,gemma_traceability/data/no_finetuning/multi_run/ten_shot_run_02_examples.jsonl,gemma_traceability/data/no_finetuning/multi_run/test_100.jsonl,2026-09-17T07:29:04.270160+00:00
five_shot,3,3,0.89,1.0,0.78,0.8764044943820225,50,0.819672131147541,1.0,0.9009009009009009,50,100,0,100,"[[39, 11], [0, 50]]",gemma_traceability/results/gemma_2_9b_it_no_finetuning/multi_run/five_shot_run_03_predictions.csv,gemma_traceability/data/no_finetuning/multi_run/five_shot_run_03_examples.jsonl,gemma_traceability/data/no_finetuning/multi_run/test_100.jsonl,2026-09-17T07:29:34.432092+00:00
ten_shot,3,3,0.87,0.9743589743589743,0.76,0.8539325842696629,50,0.8032786885245902,0.98,0.8828828828828829,50,100,0,100,"[[38, 12], [1, 49]]",gemma_traceability/results/gemma_2_9b_it_no_finetuning/multi_run/ten_shot_run_03_predictions.csv,gemma_traceability/data/no_finetuning/multi_run/ten_shot_run_03_examples.jsonl,gemma_traceability/data/no_finetuning/multi_run/test_100.jsonl,2026-09-17T07:30:07.771840+00:00
five_shot,4,4,0.84,0.9473684210526315,0.72,0.8181818181818182,50,0.7741935483870968,0.96,0.8571428571428571,50,100,0,100,"[[36, 14], [2, 48]]",gemma_traceability/results/gemma_2_9b_it_no_finetuning/multi_run/five_shot_run_04_predictions.csv,gemma_traceability/data/no_finetuning/multi_run/five_shot_run_04_examples.jsonl,gemma_traceability/data/no_finetuning/multi_run/test_100.jsonl,2026-09-17T07:30:38.091001+00:00
ten_shot,4,4,0.82,1.0,0.64,0.7804878048780488,50,0.7352941176470589,1.0,0.847457627118644,50,100,0,100,"[[32, 18], [0, 50]]",gemma_traceability/results/gemma_2_9b_it_no_finetuning/multi_run/ten_shot_run_04_predictions.csv,gemma_traceability/data/no_finetuning/multi_run/ten_shot_run_04_examples.jsonl,gemma_traceability/data/no_finetuning/multi_run/test_100.jsonl,2026-09-17T07:31:22.348592+00:00
five_shot,5,5,0.9,0.9545454545454546,0.84,0.8936170212765957,50,0.8571428571428571,0.96,0.9056603773584906,50,100,0,100,"[[42, 8], [2, 48]]",gemma_traceability/results/gemma_2_9b_it_no_finetuning/multi_run/five_shot_run_05_predictions.csv,gemma_traceability/data/no_finetuning/multi_run/five_shot_run_05_examples.jsonl,gemma_traceability/data/no_finetuning/multi_run/test_100.jsonl,2026-09-17T07:31:49.685590+00:00
ten_shot,5,5,0.85,0.926829268292683,0.76,0.8351648351648352,50,0.7966101694915254,0.94,0.8623853211009175,50,100,0,100,"[[38, 12], [3, 47]]",gemma_traceability/results/gemma_2_9b_it_no_finetuning/multi_run/ten_shot_run_05_predictions.csv,gemma_traceability/data/no_finetuning/multi_run/ten_shot_run_05_examples.jsonl,gemma_traceability/data/no_finetuning/multi_run/test_100.jsonl,2026-09-17T07:32:32.437109+00:00
five_shot,6,6,0.88,1.0,0.76,0.8636363636363636,50,0.8064516129032258,1.0,0.8928571428571429,50,100,0,100,"[[38, 12], [0, 50]]",gemma_traceability/results/gemma_2_9b_it_no_finetuning/multi_run/five_shot_run_06_predictions.csv,gemma_traceability/data/no_finetuning/multi_run/five_shot_run_06_examples.jsonl,gemma_traceability/data/no_finetuning/multi_run/test_100.jsonl,2026-09-17T07:33:01.780575+00:00
