experiment_id,experiment_name,fold,status,start_time_utc,end_time_utc,duration_minutes,model,method,balancing,training_target,template_strategy,train_file,validation_file,test_file,config_file,resolved_config_file,output_dir,best_model_dir,metrics_file,predictions_file,train_total,train_trace,train_no_trace,validation_total,validation_trace,validation_no_trace,test_total,test_trace,test_no_trace,accuracy,macro_f1,trace_precision,trace_recall,trace_f1,no_trace_precision,no_trace_recall,no_trace_f1,valid_predictions,invalid_predictions,format_valid_rate,rationale_present_rate,notes
EXP-18,"Qwen3.5 Label + Rationale, Multi-Template, 10-Fold CV",fold_01,evaluation_completed,2026-07-29T21:45:40.543107+00:00,2026-07-29T22:10:45.879668+00:00,25.0889,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,multi_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_01/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_01/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_01/test.jsonl,configs/exp18/config_qwen35_9b_exp18.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_01/resolved_config.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_01,results/exp18_qwen35_9b_rationale_multi_template/fold_01/best_model,results/exp18_qwen35_9b_rationale_multi_template/fold_01/classification_metrics.json,results/exp18_qwen35_9b_rationale_multi_template/fold_01/test_predictions.jsonl,1528,613,915,170,68,102,189,76,113,0.8783068783068783,0.872600451334955,0.863013698630137,0.8289473684210527,0.8456375838926175,0.8879310344827587,0.911504424778761,0.8995633187772926,189,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=1.9542914797346276; best_validation_loss=0.670027713291347 Test evaluation completed.
EXP-18,"Qwen3.5 Label + Rationale, Multi-Template, 10-Fold CV",fold_02,evaluation_completed,2026-07-29T22:19:47.894071+00:00,2026-07-29T22:44:51.080472+00:00,25.0531,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,multi_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_02/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_02/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_02/test.jsonl,configs/exp18/config_qwen35_9b_exp18.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_02/resolved_config.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_02,results/exp18_qwen35_9b_rationale_multi_template/fold_02/best_model,results/exp18_qwen35_9b_rationale_multi_template/fold_02/classification_metrics.json,results/exp18_qwen35_9b_rationale_multi_template/fold_02/test_predictions.jsonl,1528,613,915,170,68,102,189,76,113,0.9047619047619048,0.9000587544065805,0.9027777777777778,0.8552631578947368,0.8783783783783783,0.905982905982906,0.9380530973451328,0.9217391304347826,189,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=1.9527754197951028; best_validation_loss=0.6692516528579836 Test evaluation completed.
EXP-18,"Qwen3.5 Label + Rationale, Multi-Template, 10-Fold CV",fold_03,evaluation_completed,2026-07-29T22:53:43.245110+00:00,2026-07-29T23:18:47.528305+00:00,25.0714,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,multi_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_03/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_03/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_03/test.jsonl,configs/exp18/config_qwen35_9b_exp18.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_03/resolved_config.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_03,results/exp18_qwen35_9b_rationale_multi_template/fold_03/best_model,results/exp18_qwen35_9b_rationale_multi_template/fold_03/classification_metrics.json,results/exp18_qwen35_9b_rationale_multi_template/fold_03/test_predictions.jsonl,1528,613,915,170,68,102,189,76,113,0.8783068783068783,0.8713334319964483,0.8840579710144928,0.8026315789473685,0.8413793103448277,0.875,0.9292035398230089,0.9012875536480688,189,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=2.05448401223444; best_validation_loss=0.720024727483081 Test evaluation completed.
EXP-18,"Qwen3.5 Label + Rationale, Multi-Template, 10-Fold CV",fold_04,evaluation_completed,2026-07-29T23:27:37.847370+00:00,2026-07-29T23:52:33.473393+00:00,24.9271,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,multi_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_04/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_04/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_04/test.jsonl,configs/exp18/config_qwen35_9b_exp18.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_04/resolved_config.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_04,results/exp18_qwen35_9b_rationale_multi_template/fold_04/best_model,results/exp18_qwen35_9b_rationale_multi_template/fold_04/classification_metrics.json,results/exp18_qwen35_9b_rationale_multi_template/fold_04/test_predictions.jsonl,1528,613,915,170,68,102,189,76,113,0.9153439153439153,0.911970190964136,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.9292035398230089,0.9292035398230089,0.9292035398230089,189,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=1.9701352462551311; best_validation_loss=0.6781021933147795 Test evaluation completed.
EXP-18,"Qwen3.5 Label + Rationale, Multi-Template, 10-Fold CV",fold_05,evaluation_completed,2026-07-30T00:01:23.731670+00:00,2026-07-30T00:26:21.868211+00:00,24.9689,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,multi_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_05/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_05/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_05/test.jsonl,configs/exp18/config_qwen35_9b_exp18.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_05/resolved_config.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_05,results/exp18_qwen35_9b_rationale_multi_template/fold_05/best_model,results/exp18_qwen35_9b_rationale_multi_template/fold_05/classification_metrics.json,results/exp18_qwen35_9b_rationale_multi_template/fold_05/test_predictions.jsonl,1528,613,915,170,68,102,189,76,113,0.91005291005291,0.9043892277934831,0.9402985074626866,0.8289473684210527,0.8811188811188811,0.8934426229508197,0.9646017699115044,0.9276595744680851,189,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=2.004043487803089; best_validation_loss=0.6951668834877092 Test evaluation completed.
EXP-18,"Qwen3.5 Label + Rationale, Multi-Template, 10-Fold CV",fold_06,evaluation_completed,2026-07-30T00:35:19.233885+00:00,2026-07-30T01:00:20.579219+00:00,25.0224,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,multi_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_06/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_06/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_06/test.jsonl,configs/exp18/config_qwen35_9b_exp18.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_06/resolved_config.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_06,results/exp18_qwen35_9b_rationale_multi_template/fold_06/best_model,results/exp18_qwen35_9b_rationale_multi_template/fold_06/classification_metrics.json,results/exp18_qwen35_9b_rationale_multi_template/fold_06/test_predictions.jsonl,1528,613,915,170,68,102,189,76,113,0.9312169312169312,0.927991559450192,0.9315068493150684,0.8947368421052632,0.912751677852349,0.9310344827586207,0.9557522123893806,0.943231441048035,189,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=2.0072782743194657; best_validation_loss=0.6967797120810771 Test evaluation completed.
EXP-18,"Qwen3.5 Label + Rationale, Multi-Template, 10-Fold CV",fold_07,evaluation_completed,2026-07-30T01:09:10.531960+00:00,2026-07-30T01:34:25.607486+00:00,25.2513,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,multi_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_07/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_07/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_07/test.jsonl,configs/exp18/config_qwen35_9b_exp18.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_07/resolved_config.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_07,results/exp18_qwen35_9b_rationale_multi_template/fold_07/best_model,results/exp18_qwen35_9b_rationale_multi_template/fold_07/classification_metrics.json,results/exp18_qwen35_9b_rationale_multi_template/fold_07/test_predictions.jsonl,1528,613,915,170,68,102,189,76,113,0.8783068783068783,0.8731802666511072,0.8533333333333334,0.8421052631578947,0.847682119205298,0.8947368421052632,0.9026548672566371,0.8986784140969163,189,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=2.0195803068846105; best_validation_loss=0.7028897209571671 Test evaluation completed.
EXP-18,"Qwen3.5 Label + Rationale, Multi-Template, 10-Fold CV",fold_08,evaluation_completed,2026-07-30T01:43:15.979645+00:00,2026-07-30T02:08:22.136015+00:00,25.1026,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,multi_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_08/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_08/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_08/test.jsonl,configs/exp18/config_qwen35_9b_exp18.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_08/resolved_config.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_08,results/exp18_qwen35_9b_rationale_multi_template/fold_08/best_model,results/exp18_qwen35_9b_rationale_multi_template/fold_08/classification_metrics.json,results/exp18_qwen35_9b_rationale_multi_template/fold_08/test_predictions.jsonl,1529,614,915,170,68,102,188,75,113,0.925531914893617,0.9226973684210527,0.8961038961038961,0.92,0.9078947368421053,0.9459459459459459,0.9292035398230089,0.9375,188,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=2.017499315622644; best_validation_loss=0.7018587819414107 Test evaluation completed.
EXP-18,"Qwen3.5 Label + Rationale, Multi-Template, 10-Fold CV",fold_09,evaluation_completed,2026-07-30T02:17:12.327600+00:00,2026-07-30T02:42:22.523858+00:00,25.1699,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,multi_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_09/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_09/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_09/test.jsonl,configs/exp18/config_qwen35_9b_exp18.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_09/resolved_config.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_09,results/exp18_qwen35_9b_rationale_multi_template/fold_09/best_model,results/exp18_qwen35_9b_rationale_multi_template/fold_09/classification_metrics.json,results/exp18_qwen35_9b_rationale_multi_template/fold_09/test_predictions.jsonl,1529,614,915,170,68,102,188,75,113,0.8936170212765957,0.8868424220536897,0.9104477611940298,0.8133333333333334,0.8591549295774649,0.8842975206611571,0.9469026548672567,0.9145299145299146,188,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=1.993892117779111; best_validation_loss=0.690088566655297 Test evaluation completed.
EXP-18,"Qwen3.5 Label + Rationale, Multi-Template, 10-Fold CV",fold_10,evaluation_completed,2026-07-30T02:51:10.594309+00:00,2026-07-30T03:16:27.072003+00:00,25.2746,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,multi_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_10/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_10/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_10/test.jsonl,configs/exp18/config_qwen35_9b_exp18.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_10/resolved_config.yaml,results/exp18_qwen35_9b_rationale_multi_template/fold_10,results/exp18_qwen35_9b_rationale_multi_template/fold_10/best_model,results/exp18_qwen35_9b_rationale_multi_template/fold_10/classification_metrics.json,results/exp18_qwen35_9b_rationale_multi_template/fold_10/test_predictions.jsonl,1529,614,915,170,68,102,188,75,113,0.8936170212765957,0.8885727833096253,0.8767123287671232,0.8533333333333334,0.8648648648648648,0.9043478260869565,0.9203539823008849,0.9122807017543859,188,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=2.0265940374274933; best_validation_loss=0.706356569872168 Test evaluation completed.
